"A1","A2","A3","A4","A5","C1","C2","C3","C4","C5","E1","E2","E3","E4","E5","N1","N2","N3","N4","N5","O1","O2","O3","O4","O5","gender","education","age","id"
2,4,3,4,4,2,3,3,4,4,3,3,3,4,4,3,4,2,2,3,3,6,3,4,3,1,,16,"61617"
2,4,5,2,5,5,4,4,3,4,1,1,6,4,3,3,3,3,5,5,4,2,4,3,3,2,,18,"61618"
5,4,5,4,4,4,5,4,2,5,2,4,4,4,5,4,5,4,2,3,4,2,5,5,2,2,,17,"61620"
4,4,6,5,5,4,4,3,5,5,5,3,4,4,4,2,5,2,4,1,3,3,4,3,5,2,,17,"61621"
2,3,3,4,5,4,4,5,3,2,2,2,5,4,5,2,3,4,4,3,3,3,4,3,3,1,,17,"61622"
6,6,5,6,5,6,6,6,1,3,2,1,6,5,6,3,5,2,2,3,4,3,5,6,1,2,3,21,"61623"
2,5,5,3,5,5,4,4,2,3,4,3,4,5,5,1,2,2,1,1,5,2,5,6,1,1,,18,"61624"
4,3,1,5,1,3,2,4,2,4,3,6,4,2,1,6,3,2,6,4,3,2,4,5,3,1,2,19,"61629"
4,3,6,3,3,6,6,3,4,5,5,3,,4,3,5,5,2,3,3,6,6,6,6,1,1,1,19,"61630"
2,5,6,6,5,6,5,6,2,1,2,2,4,5,5,5,5,5,2,4,5,1,5,5,2,2,,17,"61633"
4,4,5,6,5,4,3,5,3,2,1,3,2,5,4,3,3,4,2,3,5,3,5,6,3,1,1,21,"61634"
2,5,5,5,5,5,4,5,4,5,3,3,4,5,4,4,5,3,2,,4,6,4,5,4,1,,16,"61636"
5,5,5,6,4,5,4,3,2,2,3,3,3,2,4,1,2,2,2,2,4,2,4,5,2,2,,16,"61637"
5,5,5,6,6,4,4,4,2,1,2,2,4,6,5,1,1,1,2,1,5,3,4,4,4,1,,16,"61639"
4,5,2,2,1,5,5,5,2,2,3,4,3,6,5,2,4,2,2,3,5,2,5,5,5,1,1,17,"61640"
4,3,6,6,3,5,5,5,3,5,1,1,6,6,4,4,5,4,5,5,6,6,6,3,2,1,,17,"61643"
4,6,6,2,5,4,4,4,4,4,1,2,5,5,5,4,4,4,4,5,5,1,5,6,3,2,,17,"61650"
5,5,5,4,5,5,5,5,4,3,2,2,4,6,6,6,5,5,4,4,5,1,4,5,4,1,,17,"61651"
4,4,5,4,3,5,4,5,4,6,1,2,4,5,5,5,6,5,5,2,4,2,2,4,2,2,,16,"61653"
4,4,6,5,5,1,1,1,5,6,1,1,4,5,6,5,5,5,1,1,4,1,5,3,2,2,,17,"61654"
5,4,2,1,2,4,6,5,5,4,3,3,5,5,4,1,3,3,2,1,6,1,3,2,4,1,,17,"61656"
1,6,6,1,5,5,4,4,2,3,1,2,4,3,4,2,5,5,4,6,5,1,6,6,2,2,,17,"61659"
1,5,6,5,6,4,3,2,4,5,2,1,2,5,2,2,2,2,2,2,6,1,5,5,2,1,5,68,"61661"
2,6,5,6,5,3,5,6,3,6,2,2,4,6,6,4,4,4,6,6,6,1,5,6,1,2,2,27,"61664"
4,5,5,6,5,5,5,4,1,1,3,2,5,5,6,2,3,3,1,1,6,2,5,6,2,1,1,18,"61667"
1,6,6,1,6,5,2,5,1,1,1,1,6,6,6,2,3,1,2,1,6,4,5,5,3,2,3,20,"61668"
2,4,4,4,3,6,5,6,1,1,2,4,4,2,6,3,3,5,3,2,5,2,6,6,1,2,5,51,"61669"
2,5,6,6,6,4,5,4,3,4,1,2,6,6,6,4,4,5,2,3,6,1,6,4,3,2,,14,"61670"
2,5,1,3,5,5,4,5,2,5,1,2,6,5,4,1,4,2,2,5,2,4,5,4,1,2,3,33,"61672"
4,5,6,5,5,5,5,3,5,4,1,2,6,5,5,5,4,4,3,1,4,4,6,5,1,2,3,18,"61673"
1,6,5,6,3,5,5,5,4,3,2,5,1,5,3,5,5,5,6,6,4,3,3,6,5,2,,17,"61678"
2,5,6,6,6,5,5,5,2,4,1,2,4,5,5,3,2,4,1,2,5,2,5,5,2,2,3,41,"61679"
1,5,6,5,4,1,5,6,4,6,6,6,2,1,1,1,2,1,3,6,6,6,5,6,1,1,5,23,"61682"
2,4,5,6,5,4,6,4,2,4,2,2,3,5,3,2,2,4,1,3,5,5,5,4,2,2,,17,"61683"
4,4,4,4,4,4,3,3,3,4,2,3,4,2,3,,2,1,2,2,4,3,5,5,3,1,3,20,"61684"
5,3,5,4,2,2,2,4,3,4,3,4,3,2,3,5,3,4,4,3,4,5,4,4,3,1,3,23,"61685"
1,6,4,6,4,5,6,3,1,5,6,6,3,2,2,2,2,2,4,1,5,5,4,5,3,1,3,20,"61686"
1,4,4,2,3,6,5,6,3,4,3,4,3,3,5,5,6,5,5,4,5,5,4,5,2,1,3,21,"61687"
1,6,6,6,6,6,6,6,1,1,1,1,1,6,6,1,1,1,1,1,6,1,6,6,1,1,,30,"61688"
1,5,4,3,5,6,5,5,2,2,3,2,3,6,5,1,2,1,2,1,5,1,6,6,1,2,5,48,"61691"
1,5,5,6,5,4,4,4,3,4,4,3,4,4,4,2,2,3,3,3,4,3,2,5,2,2,3,40,"61692"
5,4,3,6,4,5,2,5,2,4,6,4,2,4,4,1,2,1,2,,3,3,2,2,5,2,4,27,"61693"
1,5,4,4,5,4,5,4,3,3,3,3,2,5,4,2,3,1,3,2,4,3,5,4,3,1,1,18,"61696"
5,6,4,3,5,5,3,3,4,5,6,4,4,4,3,2,2,3,4,5,3,5,4,4,4,1,4,20,"61698"
2,6,6,6,6,5,4,5,3,4,2,2,4,5,5,2,2,2,2,3,5,2,5,5,1,2,5,24,"61700"
1,6,6,6,6,5,2,1,2,1,6,5,6,6,5,2,1,4,6,5,6,5,6,6,1,1,3,25,"61701"
5,5,3,4,3,4,4,3,4,5,4,4,5,2,4,4,5,3,5,2,3,5,4,4,2,1,2,22,"61702"
2,6,4,5,5,3,2,3,4,6,2,4,2,4,4,3,4,2,2,4,5,4,5,3,2,2,1,18,"61703"
1,5,3,2,3,3,6,3,1,3,5,5,5,5,3,5,5,5,5,3,3,3,2,5,1,2,1,43,"61713"
1,6,6,6,6,5,5,4,1,2,1,1,6,6,6,4,4,1,1,1,6,3,6,6,1,1,3,20,"61715"
1,6,6,6,4,4,3,1,4,2,2,2,5,4,4,6,6,6,3,3,3,1,4,6,2,2,3,24,"61716"
1,5,6,5,4,6,6,6,6,2,4,4,4,3,6,1,1,1,6,5,5,6,3,6,3,2,4,26,"61723"
3,6,4,4,4,5,5,3,2,5,1,1,4,6,5,2,2,1,1,1,5,1,5,5,6,1,4,26,"61724"
4,3,5,6,3,5,6,2,5,2,3,5,2,6,2,6,5,5,5,6,2,5,2,6,4,2,3,25,"61725"
1,6,6,6,6,6,5,5,2,2,1,2,5,6,5,2,3,2,3,2,5,3,5,5,2,1,4,25,"61728"
1,4,3,5,5,5,5,4,4,5,2,5,4,5,5,2,4,4,5,3,5,1,6,6,1,1,5,26,"61730"
1,4,2,2,2,5,5,5,5,1,4,5,4,3,4,3,4,5,5,5,4,4,6,6,3,2,3,21,"61731"
3,4,5,2,4,5,4,5,2,4,5,5,5,4,5,5,5,5,3,2,5,2,5,5,5,1,5,24,"61732"
1,6,5,4,4,6,6,6,1,4,4,4,1,2,5,3,4,4,4,4,4,4,4,2,1,2,2,50,"61740"
3,3,5,4,5,6,4,4,2,2,2,1,4,6,4,1,2,1,4,1,4,3,5,5,2,1,5,29,"61742"
2,3,4,4,5,5,3,2,4,6,4,4,3,5,2,4,4,6,5,2,2,4,3,5,5,1,1,32,"61748"
2,4,4,5,3,5,5,4,3,4,6,5,4,3,4,4,5,4,5,5,6,6,4,6,2,1,1,18,"61749"
1,4,6,6,6,,6,6,2,3,1,1,5,6,6,4,4,3,1,3,5,3,3,6,3,2,4,32,"61754"
4,5,3,5,4,6,5,5,2,2,1,1,5,6,6,3,5,3,1,3,4,1,4,6,1,2,3,26,"61756"
2,6,6,6,6,4,6,6,1,4,3,6,5,4,4,4,3,6,6,4,4,1,6,6,3,2,5,27,"61757"
2,,4,6,4,5,4,5,2,1,5,5,3,3,3,1,1,1,,1,2,1,4,6,1,2,3,19,"61759"
1,5,4,2,5,1,2,2,2,6,2,5,2,2,1,2,5,5,4,2,5,4,4,6,1,1,4,21,"61761"
4,3,2,2,2,4,2,2,4,5,4,3,4,2,4,1,2,1,5,2,6,1,6,6,1,1,3,21,"61762"
2,3,4,5,6,5,5,4,2,2,1,2,4,4,4,1,2,2,4,2,3,2,5,5,2,2,5,36,"61763"
1,6,6,3,6,6,5,6,1,4,4,4,2,3,3,1,2,2,5,2,6,2,3,5,2,2,2,48,"61764"
4,5,6,6,4,4,6,6,1,2,4,3,5,5,5,2,3,3,1,3,4,1,4,6,2,2,3,22,"61771"
2,4,6,2,5,2,4,4,1,1,1,1,4,4,,1,3,2,2,1,6,2,4,5,3,2,2,23,"61772"
4,4,4,5,3,5,4,6,2,4,2,2,4,6,4,5,5,4,3,5,4,1,4,2,3,1,3,21,"61773"
